Id;Designator;Footprint;Quantity;Designation
1;AR1A, AR1B;;2;TLV1842DGKR
2;C1;0603;1;GCM188R71C105KA64J
3;C18, C2, C20, C3, C7, C8;0603;6;GCM188L81H104KA57
4;C4;1808;1;CAS17C221KARFC
5;C5, C6;0603;2;GRT188R61E475KE13D
6;C9;0805;1;GCM21BR71A106KE22K
7;C10, C11;0603;2;GCM1885C1H221JA16
8;C12, C25A, C25B, C28A, C28B, C30A, C30B, C32A, C32B;0603;9;GCM188R72A103KA37
9;C14A, C14B, C15A, C15B;SM d6.3 h7.7;4;EDT107M025S9HAA
10;C16, C19;1210;2;GCM32EL8EH106KA07
11;C17, C21;0805;2;08055C105K4T4A
12;C22;0603;1;CBR06C560J5GACAUTO
13;C24A, C24B, C31A, C31B;0603;4;GCM1885C1H101JA16
14;C26A, C26B, C27A, C27B, C29A, C29B, C33A, C33B, C34A, C34B, C35A, C35B;0402;12;GCM155R71H104KE02
15;D1, D2;SOD123-2;2;MBR0540-TP
16;D3, D4;SOD-523-2;2;1SS405
17;D5A, D5B;SMA(DO-214AC);2;STTH102AY
18;D6;DO-214AB;1;3.0SMCJ12A
19;D7;SOD123-2;1;MBR0560-TP
20;D8A, D8B, D9A, D9B;SMA/DO-214AC;4;SMA6T12CAY
21;DL1, DL2A, DL2B, DL3A, DL3B, DL4, DL5, DL6, DL7, DL8;0603-Top View;10;SML-D12P8WT86C
22;DL9;0603-Top View;1;SML-D12U8WT86C
23;DZ1A, DZ1B, DZ2A, DZ2B;SOD-123-2;4;BZT52H-B15
24;F1;1206;1;1206L300SLTHYR
25;L1A, L1B;1812_4.5x3.2mm H2.6;2;744045330
26;L2;4018;1;74404042220
27;P1;;1;TSW-104-07-G-S
28;P2;;1;TSW-203-07-G-S
29;P3;;1;TSW-110-07-G-S
30;P5, P6;;2;TSW-108-07-G-S
31;P7;;1;TSW-106-07-G-S
32;Q1A, Q1B, Q4A, Q4B, Q7A, Q7B, Q8;SOT23-3;7;BC847C-QR
33;Q2A, Q2B, Q3A, Q3B, Q5A, Q5B, Q6A, Q6B;SOT23;8;SQ2361CES-T1_GE3
34;R1;0603;1;CRCW06030000Z0EA
35;R3;2512;1;CPA2512Q120R0FS-T10
36;R37A, R37B, R4, R42A, R42B, R5, R50A, R50B;0603;8;RC0603BR-071K2L
37;R11, R6, R60, R7;0603;4;CRCW060310R0FKE
38;R22A, R22B, R27A, R27B, R61, R8;0603;6;CRCW060310K0FKE*
39;R29, R9;0603;2;CRCW0603560RFKTA
40;R10, R19A, R19B, R20A, R20B, R26A, R26B, R56, R57, R58;0603;10;CRCW0603220RFKEA
41;R12, R13;0603;2;CRCW0603100RFKEA
42;R14A, R14B, R24A, R24B, R28;0603;5;AF0603FR-072K2L
43;R15A, R15B, R21A, R21B, R25A, R25B, R43A, R43B;0603;8;CRCW060333K0FKEA
44;R16A, R16B, R34, R35;0603;4;CRCW0603100KFKEA
45;R17A, R17B, R23A, R23B;0805;4;ERJ-S06J681V
46;R18A, R18B, R30;0603;3;SG73S1JTTD6801F
47;R31;0603;1;RS73F1JRTTD3403B
48;R32;0603;1;ERJ-PB3B1332V
49;R33;0603;1;CRCW060347K0FKEA
50;R36A, R36B, R41A, R41B, R44A, R44B, R48A, R48B, R49A, R49B, R51A, R51B;0805;12;ERJ-P06D6800V
51;R38A, R38B, R52A, R52B;0603;4;CRCW06031K00FKEA
52;R39A, R39B, R53A, R53B;0402;4;CRCW0402100KFKED
53;R40A, R40B, R54A, R54B;0603;4;CRCW06031M00FKEB
54;R45A, R45B, R46A, R46B, R47A, R47B, R55A, R55B;0402;8;CRCW0402100RFKED
55;R59A, R59B;0603;2;CRCW0603470KFKEA
56;TB1;;1;691322110003
57;TB2A, TB2B, TB3A, TB3B;;4;691322110004
58;TB4;;1;691313510002
59;TP6A, TP6B, TP7A, TP7B, TP8;PTH;5;20-2137
60;TR1;;1;760390014
61;U1;SOIC-8;1;MAX13487EESA+
62;U2;SOIC127P1150X280-8N;1;ISO6721FQDWVRQ1
63;U3;SOT23-5;1;TPS76350DBVT
64;U4;SOT-23-5;1;SN6501DBVR
65;U5;SM-DIP4;1;FOD817AS
66;U6;TSSOP-14;1;TS12A44515PWR
67;U7A, U7B, U9A, U9B;SMD-6;4;4N25-X009T
68;U8A, U8B;;2;1461404-1
69;U11;SIP-3 (THT);1;173010578
70;U12;SOT-23-5;1;LM2733XMF/NOPB
71;U13A, U13B;SMD-8;2;SFH6316T
72;U14A, U14B, U16A, U16B;SOIC127P1150X280-8N;4;ISO6720FQDWVRQ1
73;U15A, U15B;SOP-5;2;PS9123-F3-AX
74;U17, U20;SOT23-5;2;SN74LVC1GU04DBVR
75;U18, U19;SOT23-5;2;SN74LVC1G125DBV*
