name;description;category;notes;footprint;tag;quantity;storage;mass;ipn;mpn;manufacturing_status;manufacturer;supplier;spn;price;favourite;needs_review;minamount;partUnit;manufacturing_status
TLV1822DDFR;Dual Tiny Micropower Comparator Rail2Rail, 40V, OpenDrain, TSOT23-8;;AR1;;Inverte Logica;1;;;;TLV1822DDFR;;TI;Mouser;;;0;0;;;
TLH-2450;Primary Coin Cell Li-IonBatt 2450, 3.6V, 5mA, Ext Temp, Auto, PTH;;BT1;;Inverte Logica;0;;;;TLH-2450;;TADIRAN;Mouser;;;0;0;;;
GCM31B7U2E103JX01L;MLCC Automotive, 1206, 250V, 10%, X7R;;C1;;Inverte Logica;1;;;;GCM31B7U2E103JX01L;;MURATA;Mouser;;;0;0;;;
GCM1885C1H101JA16;MLCC Automotive, 0603, 50V, 5%, COG, MLCC Automotive, 100pF, 0603, 50V, 5%, COG;;C2, C166, C167;;Inverte Logica;3;;;;GCM1885C1H101JA16;;MURATA;Mouser;;;0;0;;;
8853522110031;CAP, CERAMIC 1nF 10% 250Vac (1.5KVac 60s)  - X1/Y2 1812 SM;;C3, C7, C39, C41, C43, C44, C45, C46;;Inverte Logica;8;;;;8853522110031;;WURTH ELEK;Mouser;;;0;0;;;
C2220X105KARACAUTO;MLCC Auto Soft Term, 1uF,2220, 250V, 10%, X7R;;C4, C5, C6;;Inverte Logica;3;;;;C2220X105KARACAUTO;;KEMET;Mouser;;;0;0;;;
UUB2D4R7MNL1GS;SMD, Alum Electr, Gen Purp, ULB, AEC-Q200;;C8;;Inverte Logica;1;;;;UUB2D4R7MNL1GS;;Nichicon;Mouser;;;0;0;;;
GCM32EL8EF226KE08L;MLCC Automotive, 1210, 25V, 10%, X8L;;C9, C14, C18, C30;;Inverte Logica;4;;;;GCM32EL8EF226KE08L;;MURATA;Mouser;;;0;0;;;
GCM32EL8EH106KA07;MLCC Automotive, 1210, 50V, 10%, X8L;;C10, C15, C19, C24, C31, C38;;Inverte Logica;6;;;;GCM32EL8EH106KA07;;MURATA;Mouser;;;0;0;;;
GCM188L81H104KA57;MLCC Automotive, 0603, 50V, 10%, X8L;;C11, C16, C20, C21, C25, C27, C32, C37, C51, C52, C56, C57, C58, C63, C64, C68, C69, C70, C76, C77, C79, C81, C83, C87, C140, C202, C203, C204, C205;;Inverte Logica;29;;;;GCM188L81H104KA57;;MURATA;Mouser;;;0;0;;;
UBX2C470MHL;TH, Alum Electr, High temp, UBX series;;C12, C13;;Inverte Logica;2;;;;UBX2C470MHL;;Nichicon;Mouser;;;0;0;;;
KCM55QC71E476KH13;MLCC Automotive, 2220, 25V, 10%, X7S;;C17, C23;;Inverte Logica;2;;;;KCM55QC71E476KH13;;MURATA;Mouser;;;0;0;;;
EDT476M025S9HAA;SMD, Alum Electr, Low Esr, AntiVibr, AEC-Q200;;C22, C26;;Inverte Logica;2;;;;EDT476M025S9HAA;;KEMET;Mouser;;;0;0;;;
GCM1885C1H471JA16;MLCC Automotive, 0603, 50V, 5%, COG;;C28, C90;;Inverte Logica;2;;;;GCM1885C1H471JA16;;MURATA;Mouser;;;0;0;;;
GCM1885C1H102JA16;MLCC Automotive, 0603, 50V, 10%, X7R, MLCC Automotive, 1nF, 0603, 50V, 10%, COG;;C29, C215, C216;;Inverte Logica;3;;;;GCM1885C1H102JA16;;MURATA;Mouser;;;0;0;;;
GCM219R71H334KA55;MLCC Automotive, 0603, 50V, 10%, X8L;;C33;;Inverte Logica;1;;;;GCM219R71H334KA55;;MURATA;Mouser;;;0;0;;;
GCM1885C1H561JA16;MLCC Automotive, 0603, 50V, 5%, COG;;C34, C47, C59, C72;;Inverte Logica;4;;;;GCM1885C1H561JA16;;MURATA;Mouser;;;0;0;;;
GCM21BR71E225KA73L;MLCC Automotive, 0603, 50V, 10%, X7R;;C35, C50, C62, C75, C86;;Inverte Logica;5;;;;GCM21BR71E225KA73L;;MURATA;Mouser;;;0;0;;;
GCM21BC7YA475KE36#;MLCC Automotive, 0805, 4.7uF, 35V, 20%, X7S;;C36, C54, C55, C66, C67, C120, C171;;Inverte Logica;7;;;;GCM21BC7YA475KE36#;;MURATA;Mouser;;;0;0;;;
GCM1885C1H221JA16;MLCC Automotive, 0603, 50V, 5%, COG;;C40, C180;;Inverte Logica;2;;;;GCM1885C1H221JA16;;MURATA;Mouser;;;0;0;;;
GCM1885C1H220JA16;MLCC Automotive, 0603, 50V, 5%, COG;;C42;;Inverte Logica;1;;;;GCM1885C1H220JA16;;MURATA;Mouser;;;0;0;;;
EDT107M025S9HAA;SMD, Alum Electr, Low Esr, AEC-Q200;;C48, C49, C53, C60, C61, C65, C73, C74, C84, C85;;Inverte Logica;10;;;;EDT107M025S9HAA;;KEMET;Mouser;;;0;0;;;
08055C105K4T4A;MLCC Automotive, 0805, 50V, 10%, X7R;;C71, C78, C162, C163, C169;;Inverte Logica;5;;;;08055C105K4T4A;;KYOCERA-AVX;Mouser;;;0;0;;;
GCM21BR71A106KE22K;MLCC Automotive, 0805, 10uF, 10V, 10%, X7R;;C80, C88, C135, C179, C181, C182;;Inverte Logica;6;;;;GCM21BR71A106KE22K;;MURATA;Mouser;;;0;0;;;
GCM188R71H224KA64;MLCC Automotive, 0603, 50V, 10%, X7R;;C82;;Inverte Logica;1;;;;GCM188R71H224KA64;;MURATA;Mouser;;;0;0;;;
GCM155R71H104KE02;MLCC Automotive, 0402, 50V, 10%, X7r;;C89, C91, C93, C94, C95, C97, C98, C100, C102, C103, C104, C105, C106, C107, C110, C111, C112, C115, C116, C118, C121, C122, C123, C124, C127, C128, C129, C130, C131, C136, C138, C143, C144, C145, C146, C147, C148, C150, C151, C156, C157, C158, C159, C160, C164, C165, C170, C172, C173, C174, C175, C176, C177, C178, C183, C184, C186, C188, C189, C191, C192, C193, C194, C195, C208, C209, C210;;Inverte Logica;67;;;;GCM155R71H104KE02;;MURATA;Mouser;;;0;0;;;
GCM155R71H103KA55*;MLCC Automotive, 10nF, 0402, 25V, 10%, X7r;;C92, C96, C109, C114;;Inverte Logica;4;;;;GCM155R71H103KA55*;;MURATA;Mouser;;;0;0;;;
GCM155R71H104KE02;MLCC Automotive, 0402, 50V, 10%, X7r;;C99, C142, C196, C199;;Inverte Logica;0;;;;GCM155R71H104KE02;;MURATA;Mouser;;;0;0;;;
GCM188R72A103KA37;MLCC Automotive, 0603, 100V, 10%, X7R, MLCC Automotive, 10nF, 0603, 100V, 10%, X7R;;C101, C211, C212;;Inverte Logica;0;;;;GCM188R72A103KA37;;MURATA;Mouser;;;0;0;;;
GCM155R71E183KA55*;MLCC Automotive, 18nF, 0402, 25V, 10%, X7r;;C108, C113;;Inverte Logica;2;;;;GCM155R71E183KA55*;;MURATA;Mouser;;;0;0;;;
GCM188R71C105KA64J;MLCC Automotive, 1uF, 0603, 16V, 10%, X7R;;C117, C119, C134, C149, C168, C185, C187, C207, C214, C217;;Inverte Logica;10;;;;GCM188R71C105KA64J;;MURATA;Mouser;;;0;0;;;
GCM1555C1H6R8BA16*;MLCC Automotive, 6.8pF,0402, 50V, 5%, COG(NPO);;C125, C126;;Inverte Logica;2;;;;GCM1555C1H6R8BA16*;;MURATA;Mouser;;;0;0;;;
